1119.11:50:53.219 1119.11:51:54.183 5     10.0.1.1        5201  4     10.0.2.1        57340 6   0  3728       5592000
1119.11:50:53.227 1119.11:51:54.183 5     10.0.1.1        5201  4     10.0.2.1        57342 6   0  3544       5316000
1119.11:50:53.227 1119.11:51:54.183 5     10.0.1.1        5201  0     10.0.2.1        57338 6   0  3972       5958000
1119.11:50:53.239 1119.11:51:54.203 4     10.0.2.1        57340 5     10.0.1.1        5201  6   0  2231       126268
1119.11:50:56.363 1119.11:51:57.183 5     10.0.1.2        3000  4     10.0.2.2        36724 6   0  2987       4466879
1119.11:50:56.387 1119.11:51:57.179 4     10.0.2.2        36724 5     10.0.1.2        3000  6   0  1776       106582
1119.11:51:54.211 1119.11:52:53.227 5     10.0.1.1        5201  0     10.0.2.1        57342 6   1  3721       5580052
1119.11:51:54.211 1119.11:52:53.215 5     10.0.1.1        5201  4     10.0.2.1        57340 6   0  3791       5686500
1119.11:51:54.211 1119.11:52:53.227 5     10.0.1.1        5201  4     10.0.2.1        57338 6   0  3739       5608500
1119.11:51:54.235 1119.11:52:53.215 4     10.0.2.1        57342 5     10.0.1.1        5201  6   1  2146       121952
1119.11:51:54.235 1119.11:52:53.251 4     10.0.2.1        57340 5     10.0.1.1        5201  6   4  2141       122076
1119.11:51:54.235 1119.11:52:53.263 4     10.0.2.1        57338 5     10.0.1.1        5201  6   4  2118       120332
1119.11:52:52.715 1119.11:52:53.263 4     10.0.2.1        57336 5     10.0.1.1        5201  6   1  9          995
1119.11:52:52.731 1119.11:52:53.227 5     10.0.1.1        5201  4     10.0.2.1        57336 6   1  8          945
1119.11:51:57.211 1119.11:52:58.195 4     10.0.2.2        36724 5     10.0.1.2        3000  6   0  1691       101570
1119.11:51:57.215 1119.11:52:58.207 5     10.0.1.2        3000  4     10.0.2.2        36724 6   0  2921       4369564
1119.11:52:58.239 1119.11:53:08.551 4     10.0.2.2        36724 5     10.0.1.2        3000  6   1  257        15244
1119.11:52:58.247 1119.11:53:08.531 5     10.0.1.2        3000  4     10.0.2.2        36724 6   1  627        935832
1119.11:53:53.203 1119.11:53:53.475 4     10.0.2.1        57350 5     10.0.1.1        5201  6   2  9          653
1119.11:53:53.219 1119.11:53:53.427 5     10.0.1.1        5201  4     10.0.2.1        57350 6   2  8          428
1119.11:53:53.351 1119.11:54:53.695 4     10.0.2.1        57352 5     10.0.1.1        5201  6   2  3153       167597
1119.11:53:53.359 1119.11:54:53.663 5     10.0.1.1        5201  4     10.0.2.1        57352 6   2  5418       8080960
1119.11:54:54.423 1119.11:55:54.531 5     10.0.1.1        5201  4     10.0.2.1        57352 6   0  5375       8020740
1119.11:54:54.459 1119.11:55:54.551 4     10.0.2.1        57352 5     10.0.1.1        5201  6   0  3052       161608
1119.11:55:55.247 1119.11:56:53.583 5     10.0.1.1        5201  4     10.0.2.1        57352 6   1  5210       7768256
1119.11:55:55.291 1119.11:56:53.575 4     10.0.2.1        57352 5     10.0.1.1        5201  6   1  2908       154248
1119.11:56:53.423 1119.11:56:53.607 4     10.0.2.1        57350 5     10.0.1.1        5201  6   1  9          768
1119.11:56:53.435 1119.11:56:53.583 5     10.0.1.1        5201  4     10.0.2.1        57350 6   1  8          712
1119.11:57:09.971 1119.11:57:59.895 4     10.0.2.2        36736 5     10.0.1.2        3000  6   7  2166       129641
1119.11:57:53.571 1119.11:57:53.927 4     10.0.2.1        57358 5     10.0.1.1        5201  6   2  9          653
1119.11:57:53.579 1119.11:57:53.895 5     10.0.1.1        5201  4     10.0.2.1        57358 6   2  8          428
1119.11:57:09.979 1119.11:57:59.863 5     10.0.1.2        3000  4     10.0.2.2        36736 6   2  6896       10323951
1119.11:57:53.727 1119.11:58:54.051 4     10.0.2.1        57360 5     10.0.1.1        5201  6   2  2935       164181
1119.11:57:53.735 1119.11:58:54.055 5     10.0.1.1        5201  4     10.0.2.1        57360 6   2  5305       7954612
1119.11:57:53.767 1119.11:58:54.195 4     10.0.2.1        57362 5     10.0.1.1        5201  6   2  2946       165317
1119.11:57:53.779 1119.11:58:54.195 5     10.0.1.1        5201  4     10.0.2.1        57362 6   2  5507       8257612
1119.11:57:59.867 1119.11:59:00.187 4     10.0.2.2        36746 5     10.0.1.2        3000  6   2  1513       93037
1119.11:57:59.887 1119.11:59:00.187 5     10.0.1.2        3000  4     10.0.2.2        36746 6   2  2687       4012718
1119.11:58:54.223 1119.11:59:55.171 4     10.0.2.1        57362 5     10.0.1.1        5201  6   0  2809       157828
1119.11:58:54.227 1119.11:59:55.183 5     10.0.1.1        5201  4     10.0.2.1        57362 6   0  5669       8503500
1119.11:58:54.295 1119.11:59:55.183 5     10.0.1.1        5201  4     10.0.2.1        57360 6   0  5600       8400000
1119.11:58:54.323 1119.11:59:55.199 4     10.0.2.1        57360 5     10.0.1.1        5201  6   0  2820       158888
1119.11:59:00.219 1119.12:00:01.207 4     10.0.2.2        36746 5     10.0.1.2        3000  6   0  1370       83014
1119.11:59:00.219 1119.11:59:57.671 5     10.0.1.2        3000  4     10.0.2.2        36746 6   0  2302       3441814
1119.11:59:55.211 1119.12:00:54.031 4     10.0.2.1        57362 5     10.0.1.1        5201  6   4  2789       156316
1119.11:59:55.211 1119.12:00:54.023 4     10.0.2.1        57360 5     10.0.1.1        5201  6   4  2919       163608
1119.12:00:53.883 1119.12:00:54.039 4     10.0.2.1        57358 5     10.0.1.1        5201  6   1  9          881
1119.12:00:53.887 1119.12:00:54.015 5     10.0.1.1        5201  4     10.0.2.1        57358 6   1  7          779
1119.11:59:55.211 1119.12:00:53.991 5     10.0.1.1        5201  4     10.0.2.1        57360 6   0  5402       8103000
1119.11:59:55.219 1119.12:00:54.007 5     10.0.1.1        5201  4     10.0.2.1        57362 6   0  5153       7729500
1119.12:00:01.219 1119.12:01:00.027 5     10.0.1.2        3000  4     10.0.2.2        36746 6   0  2892       4326664
1119.12:00:01.239 1119.12:01:00.059 4     10.0.2.2        36746 5     10.0.1.2        3000  6   0  1510       90870
1119.12:01:04.059 1119.12:01:59.583 4     10.0.2.2        36746 5     10.0.1.2        3000  6   5  2919       166870
1119.12:01:04.063 1119.12:01:59.551 5     10.0.1.2        3000  4     10.0.2.2        36746 6   0  8299       12436956
1119.12:01:54.011 1119.12:01:55.571 4     10.0.2.1        57372 5     10.0.1.1        5201  6   2  9          653
1119.12:01:54.019 1119.12:01:55.547 5     10.0.1.1        5201  4     10.0.2.1        57372 6   2  9          481
1119.12:01:54.143 1119.12:02:54.207 4     10.0.2.1        57374 5     10.0.1.1        5201  6   2  2170       123337
1119.12:01:54.147 1119.12:02:54.183 5     10.0.1.1        5201  0     10.0.2.1        57374 6   2  3775       5658172
1119.12:01:55.183 1119.12:02:55.199 4     10.0.2.1        57376 5     10.0.1.1        5201  6   2  2209       125453
1119.12:01:55.199 1119.12:02:55.203 5     10.0.1.1        5201  4     10.0.2.1        57376 6   2  3647       5467612
1119.12:01:55.215 1119.12:02:56.163 4     10.0.2.1        57378 5     10.0.1.1        5201  6   2  2219       126101
1119.12:01:55.227 1119.12:02:56.183 5     10.0.1.1        5201  4     10.0.2.1        57378 6   2  3744       5613112
1119.12:01:59.583 1119.12:02:59.163 4     10.0.2.2        36760 5     10.0.1.2        3000  6   2  1721       105237
1119.12:01:59.595 1119.12:02:59.135 5     10.0.1.2        3000  4     10.0.2.2        36760 6   2  3067       4580731
1119.12:03:01.175 1119.12:03:01.747 4     10.0.2.2        36760 5     10.0.1.2        3000  6   5  21         1609
1119.12:03:01.183 1119.12:03:01.723 5     10.0.1.2        3000  4     10.0.2.2        36760 6   0  26         39000
1119.12:02:54.215 1119.12:03:55.195 5     10.0.1.1        5201  4     10.0.2.1        57374 6   0  3782       5673000
1119.12:02:54.239 1119.12:03:55.183 4     10.0.2.1        57374 5     10.0.1.1        5201  6   0  2061       117484
1119.12:02:55.227 1119.12:03:56.191 4     10.0.2.1        57376 5     10.0.1.1        5201  6   0  2383       135356
1119.12:02:55.231 1119.12:03:56.191 5     10.0.1.1        5201  4     10.0.2.1        57376 6   0  4237       6355500
1119.12:02:56.211 1119.12:03:57.191 4     10.0.2.1        57378 5     10.0.1.1        5201  6   0  2355       133600
1119.12:02:56.215 1119.12:03:57.195 5     10.0.1.1        5201  4     10.0.2.1        57378 6   0  4189       6283500
1119.12:03:01.731 1119.12:04:02.187 4     10.0.2.2        36762 5     10.0.1.2        3000  6   2  1337       82655
1119.12:03:01.735 1119.12:04:02.199 5     10.0.1.2        3000  4     10.0.2.2        36762 6   2  2241       3342357
1119.12:04:02.227 1119.12:04:11.999 4     10.0.2.2        36762 5     10.0.1.2        3000  6   5  318        18926
1119.12:04:11.979 1119.12:04:24.783 4     10.0.2.2        36768 5     10.0.1.2        3000  6   3  6          328
1119.12:04:11.987 1119.12:04:24.751 5     10.0.1.2        3000  0     10.0.2.2        36768 6   3  5          284
1119.12:04:02.239 1119.12:04:11.975 5     10.0.1.2        3000  4     10.0.2.2        36762 6   0  553        829060
1119.12:03:55.219 1119.12:04:56.007 4     10.0.2.1        57374 5     10.0.1.1        5201  6   4  1942       110900
1119.12:03:55.227 1119.12:04:55.979 5     10.0.1.1        5201  4     10.0.2.1        57374 6   0  3600       5400000
1119.12:03:56.219 1119.12:04:55.999 4     10.0.2.1        57376 5     10.0.1.1        5201  6   1  2283       129872
1119.12:03:56.223 1119.12:04:55.999 5     10.0.1.1        5201  4     10.0.2.1        57376 6   1  4130       6193552
1119.12:03:57.223 1119.12:04:56.027 4     10.0.2.1        57378 5     10.0.1.1        5201  6   4  2017       114752
1119.12:04:55.291 1119.12:04:56.027 4     10.0.2.1        57372 5     10.0.1.1        5201  6   1  9          995
1119.12:04:55.295 1119.12:04:55.999 5     10.0.1.1        5201  0     10.0.2.1        57372 6   1  8          946
1119.12:03:57.227 1119.12:04:55.999 5     10.0.1.1        5201  0     10.0.2.1        57378 6   0  3607       5410500
1119.12:04:12.227 1119.12:05:12.295 4     10.0.2.2        36770 5     10.0.1.2        3000  6   3  1385       84608
1119.12:04:12.231 1119.12:05:12.275 5     10.0.1.2        3000  4     10.0.2.2        36770 6   3  2662       3973045
